name,sc,bc,url,n
夏川里美【淚光閃閃】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/tears/,n
聖誕鈴聲 Jingle Bells,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/jingle-bells/,n
周杰倫【青花瓷】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/blue-and-white-porcelain/,n
Wham【Last Christmas】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/last-christmas/,n
龍貓插曲【風的通道】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/wind-road/,n
步步驚心主題曲【三寸天堂】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/3-paradise/,n
平安夜 Silent Night,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/silent-night/,n
龍貓插曲【まいご 迷路】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/maigo/,n
久石讓【One Summer&#8217;s Day】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/one-summers-day/,n
蘇打綠 ft. Ella【你被寫在我的歌裡】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/you-were-written-in-my-song/,n
王力宏【一首簡單的歌】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/a-simple-song/,n
張信哲【從開始到現在】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/startnow/,n
Jingle Bell Rock,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/jingle-bell-rock/,n
地海戰記【瑟魯之歌】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/teru/,n
手嶌葵【寄給明天的信】,,初級演奏,http://realsound.tw/active-member/7-2/simple-fingerstyle/a-letter-to-tomorrow/,n
胡夏【那些年】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/in-those-years/,n
陳柏霖【我不會喜歡你】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/i-do-not-like-you/,n
五月天【我不願讓你一個人】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/i-can-not-let-you-alone/,n
進擊的巨人OP【紅蓮の弓矢】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/attack-of-the-giant-op1/,n
進擊的巨人OP2【自由の翼】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/wings-of-freedom/,n
五月天【傷心的人別聽慢歌】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/dont-dont/,n
五月天【倔強】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/stubborn/,n
五月天【入陣曲】蘭陵王片頭曲,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/into-the-array-song/,n
五月天【知足(最知足版)】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/contentment/,n
神魔之塔 Tower of Saviors,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/tower-of-saviors/,n
五月天【戀愛ing】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/loving/,n
周杰倫【菊花台】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/ght/,n
五月天【擁抱】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/hug/,n
Bon Jovi【It&#8217;s My Life】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/its-my-life/,n
魔女宅急便插曲【季節的迴轉】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/rotary-season/,n
筷子兄弟【小蘋果】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/little-apple/,n
Coldplay【Fix You】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/fix-you/,n
久石讓【散步】龍貓插曲,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/take-a-walk/,n
Maroon 5【Payphone】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/payphone/,n
丁噹【手掌心】蘭陵王片尾曲,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/palm/,n
Linkin Park【New Divide】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/linkin-park%e3%80%90new-divide%e3%80%91/,n
關喆【想你的夜】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/miss-you-tonight/,n
久石讓【Summer】菊次郎的夏天,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/summer/,n
風之谷OST【遠い日々】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/nausicaa/,n
七龍珠【魔訶不思議アドベンチャー!】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/dragon-ball/,n
哆啦A夢主題曲【向日葵的約定】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/himawari/,n
周杰倫【告白氣球】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/love-confession/,n
押尾光太郎【黃昏 Twilight】,,技巧演奏,http://realsound.tw/active-member/7-2/skill-fingerstyle/twilight/,n
五月天【離開地球表面】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/to-leave-the-earths-surface/,n
五月天【天使】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/angel/,n
Yiruma【River Flows In You】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/river-flows-in-you/,n
Bruno Mars【Just the way you are】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/bruno-mars-just-the-way-you-are/,n
庾澄慶【情非得已】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/last-resort/,n
Ylvis【The Fox】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/the-fox/,n
冰雪奇緣OST【Let It Go】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/let-it-go/,n
初音ミク【千本櫻】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/thousand-sakura/,n
阿隆【一路陪伴】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/accompany/,n
新世紀福音戰士OP【残酷な天使のテーゼ】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/cruel-angel/,n
玩命關頭7 ED【See You Again】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/see-you-again/,n
東京喰種OP【Unravel】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/unravel/,n
田馥甄【小幸運】我的少女時代主題曲,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/be-lucky/,n
Maroon 5【Sugar】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/sugar/,n
Beyond【海闊天空】,,調弦法演奏,http://realsound.tw/active-member/7-2/tunings-fingerstyle/beyond/,n
五月天【溫柔】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/gentle/,n
Wham【Last Christmas】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/wham-last-christmas/,n
逃跑計劃【夜空中最亮的星】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/star-in-the-night-sky/,n
蘇打綠【小情歌】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/sing-love-songs/,n
胡夏【那些年】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/those-years/,n
Jason Mraz【I&#8217;m Yours】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/im-yours/,n
方炯鑌【遺憾】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/regret/,n
張惠妹【人質】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/hostage/,n
Linkin Park【New Divide】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/linkin-park-new-divide-free/,n
五月天【你是唯一】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/you-are-only/,n
Richard Marx【Right Here Waiting】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/right-here-waiting/,n
江蕙【落雨聲】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/rain-sound/,n
林俊傑【愛笑的眼睛】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/smiling-eyes/,n
周興哲【你好不好】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/how-have-you-been/,n
陳奕迅【讓我留在你身邊】,,自彈自唱專區,http://realsound.tw/active-member/7-2/accompany/let-me-stay-with-you/,n
介紹,,會員介紹,http://realsound.tw/active-member/,n
音階練習須知,,必練音階區,http://realsound.tw/active-member/7-2/scale/notice/,n
